Citation,Citation Link,Protein,Protein codes,Protein Concentration (%),Treatment code,Treatment condition code,Treatment condition value,Treatment temperature ( °C),Treatment time (min),Additives,Additives Concentration (%),pH,Type of salt,ionic strength (M),Heating temperature (°C) for gel preparation,Heating/hold time (min),Samples stored (°C),Storage time (h),If a gel can be formed (0-1),Hardness/firmness/strength (g)
"Davide Odelli, Silva Raiane Rodrigues, Lucas Silva de Sousa, Naaman Francisco Nogueira Silva, Alma Lucía López Martínez, Lucas Sales Queiroz, Federico Casanova, Antônio Fernandes de Carvalho,Effect of konjac glucomannan on heat-induced pea protein isolate hydrogels: Evaluation of structure and formation mechanisms,Food Hydrocolloids,Volume 156,2024,110310,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110310,Pea Protein Isolate (PPI),10401,10,,,,,,40104,1.5,7.2,,,93,30,4,12,1,136.85
"Wenmei Hu, Xindong Xu, Xingyan Wang, Tinghong Ma, Yuting Li, Xianglin Qin, Jibin Wei, Shan Chen,Effect of curdlan on the gel properties and interactions of whey protein isolate gels,International Journal of Biological Macromolecules,Volume 277, Part 3,2024,134161,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.134161,Whey Protein Isolate (WPI),30105,6,30705,,,25,120,90409,0,7,,,90,30,4,12,0,0
"Wenmei Hu, Xindong Xu, Xingyan Wang, Tinghong Ma, Yuting Li, Xianglin Qin, Jibin Wei, Shan Chen,Effect of curdlan on the gel properties and interactions of whey protein isolate gels,International Journal of Biological Macromolecules,Volume 277, Part 3,2024,134161,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.134161,Whey Protein Isolate (WPI),30105,6,30705,,,25,120,90409,1,7,,,90,30,4,12,1,26.14
"Wenmei Hu, Xindong Xu, Xingyan Wang, Tinghong Ma, Yuting Li, Xianglin Qin, Jibin Wei, Shan Chen,Effect of curdlan on the gel properties and interactions of whey protein isolate gels,International Journal of Biological Macromolecules,Volume 277, Part 3,2024,134161,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.134161,Whey Protein Isolate (WPI),30105,6,30705,,,25,120,90409,2,7,,,90,30,4,12,1,54.65
"Wenmei Hu, Xindong Xu, Xingyan Wang, Tinghong Ma, Yuting Li, Xianglin Qin, Jibin Wei, Shan Chen,Effect of curdlan on the gel properties and interactions of whey protein isolate gels,International Journal of Biological Macromolecules,Volume 277, Part 3,2024,134161,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.134161,Whey Protein Isolate (WPI),30105,6,30705,,,25,120,90409,3,7,,,90,30,4,12,1,156.83
"Wenmei Hu, Xindong Xu, Xingyan Wang, Tinghong Ma, Yuting Li, Xianglin Qin, Jibin Wei, Shan Chen,Effect of curdlan on the gel properties and interactions of whey protein isolate gels,International Journal of Biological Macromolecules,Volume 277, Part 3,2024,134161,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.134161,Whey Protein Isolate (WPI),30105,6,30705,,,25,120,90409,4,7,,,90,30,4,12,1,462.18
"Wenmei Hu, Xindong Xu, Xingyan Wang, Tinghong Ma, Yuting Li, Xianglin Qin, Jibin Wei, Shan Chen,Effect of curdlan on the gel properties and interactions of whey protein isolate gels,International Journal of Biological Macromolecules,Volume 277, Part 3,2024,134161,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.134161,Whey Protein Isolate (WPI),30105,6,30705,,,25,120,90409,5,7,,,90,30,4,12,1,509.7
"Yingting Zhao, Danni Wang, Jingxin Xu, Dongkun Tu, Weijing Zhuang, Yuting Tian,Effect of polysaccharide concentration on heat-induced Tremella fuciformis polysaccharide-soy protein isolation gels: Gel properties and interactions,International Journal of Biological Macromolecules,Volume 262, Part 2,2024,129782,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.129782,Soy Protein Isolate (SPI),10301,5,,,,,,90413,0.25,7,,,85,30,4,24,1,23.36
"Yingting Zhao, Danni Wang, Jingxin Xu, Dongkun Tu, Weijing Zhuang, Yuting Tian,Effect of polysaccharide concentration on heat-induced Tremella fuciformis polysaccharide-soy protein isolation gels: Gel properties and interactions,International Journal of Biological Macromolecules,Volume 262, Part 2,2024,129782,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.129782,Soy Protein Isolate (SPI),10301,5,,,,,,90413,0.5,7,,,85,30,4,24,1,46.94
"Yingting Zhao, Danni Wang, Jingxin Xu, Dongkun Tu, Weijing Zhuang, Yuting Tian,Effect of polysaccharide concentration on heat-induced Tremella fuciformis polysaccharide-soy protein isolation gels: Gel properties and interactions,International Journal of Biological Macromolecules,Volume 262, Part 2,2024,129782,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.129782,Soy Protein Isolate (SPI),10301,5,,,,,,90413,1,7,,,85,30,4,24,1,68.23
"Yingting Zhao, Danni Wang, Jingxin Xu, Dongkun Tu, Weijing Zhuang, Yuting Tian,Effect of polysaccharide concentration on heat-induced Tremella fuciformis polysaccharide-soy protein isolation gels: Gel properties and interactions,International Journal of Biological Macromolecules,Volume 262, Part 2,2024,129782,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.129782,Soy Protein Isolate (SPI),10301,5,,,,,,90413,1.5,7,,,85,30,4,24,1,103.84
"Yingting Zhao, Danni Wang, Jingxin Xu, Dongkun Tu, Weijing Zhuang, Yuting Tian,Effect of polysaccharide concentration on heat-induced Tremella fuciformis polysaccharide-soy protein isolation gels: Gel properties and interactions,International Journal of Biological Macromolecules,Volume 262, Part 2,2024,129782,ISSN 0141-8130",https://doi.org/10.1016/j.ijbiomac.2024.129782,Soy Protein Isolate (SPI),10301,5,,,,,,90413,2,7,,,85,30,4,24,1,180.66
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,4,30601,0,,90,20,90901,2,,60201,0.01,40,40,,,1,34.62
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,4,30802,30703,4,90,20,90901,2,,60201,0.01,40,40,,,1,41.73
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,4,30802,30703,6,90,20,90901,2,,60201,0.01,40,40,,,1,38.25
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,4,30802,30703,8,90,20,90901,2,,60201,0.01,40,40,,,1,39.91
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,4,30802,30703,10,90,20,90901,2,,60201,0.01,40,40,,,1,35.96
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,6,30601,0,,90,20,90901,2,,60201,0.01,40,40,,,1,42.17
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,6,30802,30703,4,90,20,90901,2,,60201,0.01,40,40,,,1,53.65
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,6,30802,30703,6,90,20,90901,2,,60201,0.01,40,40,,,1,47.98
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,6,30802,30703,8,90,20,90901,2,,60201,0.01,40,40,,,1,49.84
"Hong Wang, Libin Sun, Xiaoming Sun, Haijuan Tian, Dianyu Yu,Effects of moderate electric fields on the structural and gelling properties of soybean protein isolate gel induced by glucono-δ-lactone,Innovative Food Science & Emerging Technologies,Volume 95,2024,103716,ISSN 1466-8564",https://doi.org/10.1016/j.ifset.2024.103716,Soy Protein Isolate (SPI),10301,6,30802,30703,10,90,20,90901,2,,60201,0.01,40,40,,,1,44.21
"Xudong Zhang, Na Ni, Zixuan Fei, Xiaoxue Li, Wanpeng Yang, Qimuge Siqin, Zhenyu Wang, Zhiyong Zhang,Effect of L-cysteine on the physicochemical properties of heat-induced sheep plasma protein gels,Food Chemistry,Volume 444,2024,138508,ISSN 0308-8146",https://doi.org/10.1016/j.foodchem.2024.138508,Sheep plasma protein ,30404,6,0,0,,,,80104,0.2,,60303,0.05,80,30,4,16,1,558.42
"Xudong Zhang, Na Ni, Zixuan Fei, Xiaoxue Li, Wanpeng Yang, Qimuge Siqin, Zhenyu Wang, Zhiyong Zhang,Effect of L-cysteine on the physicochemical properties of heat-induced sheep plasma protein gels,Food Chemistry,Volume 444,2024,138508,ISSN 0308-8146",https://doi.org/10.1016/j.foodchem.2024.138508,Sheep plasma protein ,30404,6,0,0,,,,80104,2,,60303,0.05,80,30,4,16,1,144.42
"Chen, Qiongling, Jiewen Guan, Zhengli Wang, Yu Wang, Xiaowen Wang, and Zhenjia Chen. 2024. ""Improving the Gelation Properties of Pea Protein Isolates Using Psyllium Husk Powder: Insight into the Underlying Mechanism"" Foods 13, no. 21: 3413.",https://doi.org/10.3390/foods13213413,Pea Protein Isolate (PPI),10401,22.5,,,,,,,,,,,95,30,4,12,1,66.28
"Chen, Qiongling, Jiewen Guan, Zhengli Wang, Yu Wang, Xiaowen Wang, and Zhenjia Chen. 2024. ""Improving the Gelation Properties of Pea Protein Isolates Using Psyllium Husk Powder: Insight into the Underlying Mechanism"" Foods 13, no. 21: 3413.",https://doi.org/10.3390/foods13213413,Pea Protein Isolate (PPI),10401,22.5,,,,,,40105,0.5,,,,95,30,4,12,1,71.38
"Chen, Qiongling, Jiewen Guan, Zhengli Wang, Yu Wang, Xiaowen Wang, and Zhenjia Chen. 2024. ""Improving the Gelation Properties of Pea Protein Isolates Using Psyllium Husk Powder: Insight into the Underlying Mechanism"" Foods 13, no. 21: 3413.",https://doi.org/10.3390/foods13213413,Pea Protein Isolate (PPI),10401,22.5,,,,,,40105,1,,,,95,30,4,12,1,108.09
"Chen, Qiongling, Jiewen Guan, Zhengli Wang, Yu Wang, Xiaowen Wang, and Zhenjia Chen. 2024. ""Improving the Gelation Properties of Pea Protein Isolates Using Psyllium Husk Powder: Insight into the Underlying Mechanism"" Foods 13, no. 21: 3413.",https://doi.org/10.3390/foods13213413,Pea Protein Isolate (PPI),10401,22.5,,,,,,40105,2,,,,95,30,4,12,1,121.34
"Chen, Qiongling, Jiewen Guan, Zhengli Wang, Yu Wang, Xiaowen Wang, and Zhenjia Chen. 2024. ""Improving the Gelation Properties of Pea Protein Isolates Using Psyllium Husk Powder: Insight into the Underlying Mechanism"" Foods 13, no. 21: 3413.",https://doi.org/10.3390/foods13213413,Pea Protein Isolate (PPI),10401,22.5,,,,,,40105,3,,,,95,30,4,12,1,116.25
"Wanrong Jiang, Xiaoyu Yang, Sirui Yin, Ruonan Li, Shuang Zhang, Liang Li,Gelation behaviour of Auricularia polytricha polysaccharides-whey protein isolate,Journal of Food Engineering,Volume 377,2024,112079,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2024.112079,Whey Protein Isolate (WPI),30105,16.66,30702,30602,800,25,120,90418,0,7,,,95,30,4,12,1,71.04
"Wanrong Jiang, Xiaoyu Yang, Sirui Yin, Ruonan Li, Shuang Zhang, Liang Li,Gelation behaviour of Auricularia polytricha polysaccharides-whey protein isolate,Journal of Food Engineering,Volume 377,2024,112079,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2024.112079,Whey Protein Isolate (WPI),30105,16.66,30702,30602,800,25,120,90418,0.25,7,,,95,30,4,12,1,74.61
"Wanrong Jiang, Xiaoyu Yang, Sirui Yin, Ruonan Li, Shuang Zhang, Liang Li,Gelation behaviour of Auricularia polytricha polysaccharides-whey protein isolate,Journal of Food Engineering,Volume 377,2024,112079,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2024.112079,Whey Protein Isolate (WPI),30105,16.66,30702,30602,800,25,120,90418,0.5,7,,,95,30,4,12,1,81.5
"Wanrong Jiang, Xiaoyu Yang, Sirui Yin, Ruonan Li, Shuang Zhang, Liang Li,Gelation behaviour of Auricularia polytricha polysaccharides-whey protein isolate,Journal of Food Engineering,Volume 377,2024,112079,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2024.112079,Whey Protein Isolate (WPI),30105,16.66,30702,30602,800,25,120,90418,0.75,7,,,95,30,4,12,1,87.56
"Wanrong Jiang, Xiaoyu Yang, Sirui Yin, Ruonan Li, Shuang Zhang, Liang Li,Gelation behaviour of Auricularia polytricha polysaccharides-whey protein isolate,Journal of Food Engineering,Volume 377,2024,112079,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2024.112079,Whey Protein Isolate (WPI),30105,16.66,30702,30602,800,25,120,90418,1,7,,,95,30,4,12,1,91.13
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,7.5,60101,0,95,30,4,12,1,430.91
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,7.5,60101,0.1,95,30,4,12,1,852.46
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,7.5,60101,0.2,95,30,4,12,1,1011.71
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,7,60101,0,95,30,4,12,1,552.69
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,7,60101,0.1,95,30,4,12,1,1255.27
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,7,60101,0.2,95,30,4,12,1,1245.9
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,6.5,60101,0,95,30,4,12,1,833.72
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,6.5,60101,0.1,95,30,4,12,1,1948.48
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,6.5,60101,0.2,95,30,4,12,1,1836.07
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,6,60101,0,95,30,4,12,1,2548.01
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,6,60101,0.1,95,30,4,12,1,2969.56
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,6,60101,0.2,95,30,4,12,1,2491.8
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,5.5,60101,0,95,30,4,12,1,1629.98
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,5.5,60101,0.1,95,30,4,12,1,1358.31
"Guijiang Liang, Yuxiu Wen, Wenpu Chen, Xin Li, Maomao Zeng, Zhiyong He, H. Douglas Goff, Jie Chen, Zhaojun Wang,Enhancing soy protein isolate gels: Combined control of pH and surface charge for improved structural integrity and gel strength,Food Bioscience,Volume 59,2024,103934,ISSN 2212-4292",https://doi.org/10.1016/j.fbio.2024.103934,Soy Protein Isolate (SPI),10301,12,0,0,,,,,,5.5,60101,0.2,95,30,4,12,1,1161.59
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,0,,,,,90,30,4,24,1,101.69
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.2,,,,90,30,4,24,1,140.45
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.4,,,,90,30,4,24,1,193.26
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.6,,,,90,30,4,24,1,183.15
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,,,,60212,0.00245,90,30,4,24,1,144.38
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,,,,60212,0.0049,90,30,4,24,1,120.22
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.2,,60212,0.00245,90,30,4,24,1,168.54
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.4,,60212,0.00245,90,30,4,24,1,207.3
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.6,,60212,0.00245,90,30,4,24,1,177.53
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.2,,60212,0.0049,90,30,4,24,1,170.79
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.4,,60212,0.0049,90,30,4,24,1,143.82
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,0,,,,,90402,0.6,,60212,0.0049,90,30,4,24,1,93.26
"Xia, Xiaoyu, Binyang Zhang, Yuyang Huang, Ying Zhu, Min Qu, Linlin Liu, Bingyu Sun, and Xiuqing Zhu. 2024. ""Soy Protein Isolate Gel Subjected to Freezing Treatment: Influence of Methylcellulose and Sodium Hexametaphosphate on Gel Stability, Texture and Structure"" Foods 13, no. 13: 2117.",https://doi.org/10.3390/foods13132117,Soy Protein Isolate (SPI),10301,14,30603,,,-18,2700,0,,,,,90,30,4,24,1,161.24
